FCdate,step,lat,lon,STAT_ID,VT,OBS,CNTRLFC_ECMWF,M1_ECMWF,M2_ECMWF,M3_ECMWF,M4_ECMWF,M5_ECMWF,M6_ECMWF,M7_ECMWF,M8_ECMWF,M9_ECMWF,M10_ECMWF,M11_ECMWF,M12_ECMWF,M13_ECMWF,M14_ECMWF,M15_ECMWF,M16_ECMWF,M17_ECMWF,M18_ECMWF,M19_ECMWF,M20_ECMWF,M21_ECMWF,M22_ECMWF,M23_ECMWF,CNTRLFC_UKMet,M1_UKMet,M2_UKMet,M3_UKMet,M4_UKMet,M5_UKMet,M6_UKMet,M7_UKMet,M8_UKMet,M9_UKMet,M10_UKMet,M11_UKMet,M12_UKMet,M13_UKMet,M14_UKMet,M15_UKMet,M16_UKMet,M17_UKMet,M18_UKMet,M19_UKMet,M20_UKMet,M21_UKMet,M22_UKMet,M23_UKMet
2010090112,144,3.12,35.62,63612,20100907,0.0,0.0,0.26,1.14,0.0,0.0,0.02,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,0.0,0.0,0.0,0.26,1.14,0.0,0.0,0.02,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,0.0,0.0
2010090112,144,3.53,39.03,63619,20100907,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010090112,144,2.3,37.9,63641,20100907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010090112,144,1.02,35.0,63661,20100907,0.4,8.03,8.41,8.51,8.56,8.05,4.81,9.83,7.09,10.51,14.6,15.9,6.27,6.33,5.72,10.75,3.34,10.31,7.76,10.65,4.32,8.79,9.58,11.02,6.91,8.03,8.41,8.51,8.56,8.05,4.81,9.83,7.09,10.51,14.6,15.9,6.27,6.33,5.72,10.75,3.34,10.31,7.76,10.65,4.32,8.79,9.58,11.02,6.91
2010090112,144,1.75,40.07,63671,20100907,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010090112,144,0.53,35.28,63686,20100907,4.0,5.82,9.07,7.37,9.64,9.28,5.49,6.55,9.81,8.3,14.6,12.36,7.13,5.64,5.29,10.18,2.88,10.49,9.66,7.82,5.33,2.24,6.97,8.18,2.38,5.82,9.07,7.37,9.64,9.28,5.49,6.55,9.81,8.3,14.6,12.36,7.13,5.64,5.29,10.18,2.88,10.49,9.66,7.82,5.33,2.24,6.97,8.18,2.38
2010090112,144,0.4,35.23,63688,20100907,3.0,5.82,9.07,7.37,9.64,9.28,5.49,6.55,9.81,8.3,14.6,12.36,7.13,5.64,5.29,10.18,2.88,10.49,9.66,7.82,5.33,2.24,6.97,8.18,2.38,5.82,9.07,7.37,9.64,9.28,5.49,6.55,9.81,8.3,14.6,12.36,7.13,5.64,5.29,10.18,2.88,10.49,9.66,7.82,5.33,2.24,6.97,8.18,2.38
2010090112,144,-0.1,34.75,63708,20100907,6.0,8.68,6.39,4.14,9.23,4.23,3.07,8.31,6.25,4.43,8.07,5.53,7.87,14.02,5.19,1.64,2.08,13.22,5.44,5.0,5.12,1.69,4.04,14.22,3.08,8.68,6.39,4.14,9.23,4.23,3.07,8.31,6.25,4.43,8.07,5.53,7.87,14.02,5.19,1.64,2.08,13.22,5.44,5.0,5.12,1.69,4.04,14.22,3.08
2010090112,144,-0.67,34.78,63709,20100907,75.0,1.9,7.05,5.74,7.84,6.75,2.82,10.27,7.45,5.86,0.3,1.27,11.99,6.65,6.69,2.41,2.7,10.48,7.38,3.44,2.65,2.84,5.52,18.71,0.46,1.9,7.05,5.74,7.84,6.75,2.82,10.27,7.45,5.86,0.3,1.27,11.99,6.65,6.69,2.41,2.7,10.48,7.38,3.44,2.65,2.84,5.52,18.71,0.46
2010090112,144,-0.37,35.35,63710,20100907,0.0,1.8,7.05,5.74,7.84,6.75,2.82,10.27,7.45,5.86,0.3,1.27,11.99,6.65,6.69,2.41,2.7,10.48,7.38,3.44,2.65,2.84,5.52,18.71,0.46,1.8,7.05,5.74,7.84,6.75,2.82,10.27,7.45,5.86,0.3,1.27,11.99,6.65,6.69,2.41,2.7,10.48,7.38,3.44,2.65,2.84,5.52,18.71,0.46
