"FCdate","step","lat","lon","STAT_ID","VT","OBS","DETFC","CNTRLFC","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M36","M37","M38","M39","M40","M41","M42","M43","M44","M45","M46","M47","M48","M49","M50"
2011020112,24,3.12,35.62,63612,20110202,0,0,0,0,1.34,0,0,0.22,0,0,0,0,0.13,0,0,0,0.4,0,0,0,0,0,0.48,0,5.34,0,0.11,0.15,0,0.08,0,0,0.01,0,0,0,0.59,0,0.21,0.1,0,0,0,0,11.18,0,0.12,0,0,0,0,0,0
2011020112,24,1.02,35,63661,20110202,5,2.7,0.98,0.16,10.07,6.03,3.57,2.68,1.38,0.32,6.23,0.47,18.06,2.53,1.84,0.77,0.76,2.86,2.19,3.53,0.23,0.81,7.02,0.05,11.38,5.94,4.35,6.37,0.69,1.44,5.94,0.93,12.95,3.13,1.91,1.16,1.83,0.38,2.82,1.38,0.23,0.14,4.2,0.23,11.13,1.51,5.25,3,0.82,0.35,4.62,0.71,10.15
2011020112,24,1.75,40.07,63671,20110202,0,0,0,0,0,0,0,0.02,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0.06,0.01,0,0,0,0,0.01,0,0,0,0,0
2011020112,24,0.4,35.23,63688,20110202,13,2.34,1.46,0.16,7.39,4.98,5.3,16.36,1.54,1.06,9.17,0.7,17.79,13.6,1.33,3.91,8.34,16.82,1.74,13.47,0.11,0.18,22.83,0.31,5.06,6.4,8.55,6.1,0.75,0.79,7.47,1.07,19,9.64,1.35,1.32,7.57,7.15,1.38,1.96,0.14,0.02,10.27,0.24,13.47,3.33,8.52,12.58,0.87,0.5,10.74,0.25,12.44
2011020112,24,0.08,37.65,63695,20110202,0,0.07,0.65,0.19,0.06,2.45,0.53,4.41,0.23,0.11,0.26,0.46,0.05,1.67,0.55,2.45,0.01,0.63,0.07,1.34,0.09,0,0.35,0.33,0.07,1.53,0.05,3.54,0.27,0.38,0.06,1.8,0.01,0.97,0.01,1.51,0.03,0.6,0.13,2.21,0.02,0,0.34,0.11,0.92,1.73,0,3.75,0.25,0.3,0.24,0.99,0.2
2011020112,24,-0.1,34.75,63708,20110202,0.1,6.91,7.8,0.45,1.73,3.58,0.79,12.29,1.09,0.89,9.39,0.31,9.93,14.18,0.06,2.79,10.2,0.63,6.95,11.54,0.73,0.38,15.3,0.12,5.77,4.52,2.41,13.72,4.86,1.18,4.92,0.43,3.66,15.57,0.08,4.95,1.11,0.49,4.52,9.84,0.17,0.02,8.31,3.48,12.18,1.03,3.17,11.76,3.02,0.86,7.43,0.19,13.91
2011020112,24,-0.27,36.1,63714,20110202,0,4,1.42,0.04,6.18,1.51,0.28,1.8,0,0.02,4.17,0.07,11.26,4.25,0.55,0.56,0.26,2.57,0.62,1.29,0.1,0,12.29,0,6.56,0.44,0.65,3.29,0,0,3.78,0.2,6.28,6.54,0.09,0.38,0.53,1.02,0.3,4.59,0.02,0,10.33,0.58,6.77,0.07,0.45,4.71,0.07,0.05,3.19,0,7.74
2011020112,24,-0.5,37.45,63720,20110202,0,0.09,0.78,0.06,0.73,5.21,1.26,1.27,0.01,0.18,0.42,0.58,0.01,1.12,0.85,2.43,0.01,1.39,0.38,1.28,0.05,0,1.2,0.91,0.76,2.78,0.52,1.36,0.05,0.36,0.19,0.67,0.03,1.05,0.01,1.82,0.02,0.35,2.64,1.72,0.02,0.01,0.87,0.08,1.34,0.81,0.08,1.24,0.03,0.66,0.16,1.26,0.08
2011020112,24,-0.47,39.63,63723,20110202,0,0.01,0.01,0,0.03,0.01,0.01,0.01,0,0,0.01,0,0.02,0.03,0.01,0.01,0,0,0,0.03,0,0,0.01,0,0.01,0.01,0,0.02,0,0,0.01,0,0.02,0.02,0,0.01,0,0.01,0,0.01,0,0,0,0,0.02,0.02,0,0.02,0,0,0.01,0,0.01
2011020112,24,-2.47,32.92,63756,20110202,0,1.8,1.74,1.91,3.23,11.39,0.46,11.9,0.29,2.03,1.8,1.32,3.28,10.71,2.86,8.99,0.54,7.8,1.04,3.49,0.77,0.16,4.68,2.33,1.02,10.9,0.75,11.71,0.29,2.24,1.26,0.26,2.31,5.26,2.21,15.06,0.74,3.66,2.8,1.74,1.11,0.1,1.45,1.31,1.96,3.86,0.92,11.95,0.37,5.35,0.56,0.31,1.59
