STATION_ID	TIME	WSP_OBS	HOUR_FCST	ECM_IS	HARMONIE	HIRLAM5
5544	01/09/2014 03:00	7.9	3	9	11.6	9.8
5544	01/09/2014 03:00	7.9	9	NA	12.3	10
5544	01/09/2014 03:00	7.9	15	10.3	11.7	9.1
5544	01/09/2014 03:00	7.9	21	NA	10.1	8.5
5544	01/09/2014 03:00	7.9	27	8.1	11	8.8
5544	01/09/2014 03:00	7.9	33	NA	8.8	9.6
5544	01/09/2014 03:00	7.9	39	8.2	8.9	11
5544	01/09/2014 03:00	7.9	45	NA	9.2	12.2
5544	01/09/2014 06:00	13.3	6	11	14.4	13
5544	01/09/2014 06:00	13.3	12	NA	14.5	12.9
5544	01/09/2014 06:00	13.3	18	11.6	13.4	12
5544	01/09/2014 06:00	13.3	24	NA	11.5	12.3
5544	01/09/2014 06:00	13.3	30	10.6	11.9	11.8
5544	01/09/2014 06:00	13.3	36	NA	11.7	11.7
5544	01/09/2014 06:00	13.3	42	10	11.3	10.1
5544	01/09/2014 06:00	13.3	48	NA	13.3	10.7
5544	01/09/2014 09:00	13.8	3	NA	12.9	9.8
5544	01/09/2014 09:00	13.8	9	8.2	13.9	9.8
5544	01/09/2014 09:00	13.8	15	NA	13	11.3
5544	01/09/2014 09:00	13.8	21	8.5	13.6	11.7
5544	01/09/2014 09:00	13.8	27	NA	13.4	11.2
5544	01/09/2014 09:00	13.8	33	9.9	13.6	12.3
5544	01/09/2014 09:00	13.8	39	NA	13.7	12.5
5544	01/09/2014 09:00	13.8	45	9.9	13.3	13.4
5544	01/09/2014 12:00	16.7	6	NA	14.7	11
5544	01/09/2014 12:00	16.7	12	8.9	14.5	11
5544	01/09/2014 12:00	16.7	18	NA	15.1	10.3
5544	01/09/2014 12:00	16.7	24	8.7	14.1	9
5544	01/09/2014 12:00	16.7	30	NA	13.8	11.1
5544	01/09/2014 12:00	16.7	36	8.6	14	11.6
5544	01/09/2014 12:00	16.7	42	NA	14.5	10.9
5544	01/09/2014 12:00	16.7	48	10.3	15.1	12.1
5544	01/09/2014 15:00	11.1	3	8.6	13.4	11
5544	01/09/2014 15:00	11.1	9	NA	13.8	10.6
5544	01/09/2014 15:00	11.1	15	9.5	13.4	9.8
5544	01/09/2014 15:00	11.1	21	NA	14.9	10.6
5544	01/09/2014 15:00	11.1	27	9.3	13.4	12.7
5544	01/09/2014 15:00	11.1	33	NA	14.4	10.7
5544	01/09/2014 15:00	11.1	39	10	14.1	12.5
5544	01/09/2014 15:00	11.1	45	NA	12.8	13.5
5544	01/09/2014 18:00	16.4	6	10.5	14.9	12.4
5544	01/09/2014 18:00	16.4	12	NA	14.9	11.8
5544	01/09/2014 18:00	16.4	18	9.5	14.4	12.1
5544	01/09/2014 18:00	16.4	24	NA	14.3	13.1
5544	01/09/2014 18:00	16.4	30	9.3	15.2	13.1
5544	01/09/2014 18:00	16.4	36	NA	15.4	13.2
5544	01/09/2014 18:00	16.4	42	11.1	15.8	11.8
5544	01/09/2014 18:00	16.4	48	NA	16	12.1
5544	01/09/2014 21:00	11.9	3	NA	12.4	10.6
5544	01/09/2014 21:00	11.9	9	7.3	12.5	8.6
5544	01/09/2014 21:00	11.9	15	NA	11.2	8.2
5544	01/09/2014 21:00	11.9	21	6.8	11.8	8.8
5544	01/09/2014 21:00	11.9	27	NA	12.7	10.2
5544	01/09/2014 21:00	11.9	33	7.4	13.6	11.1
5544	01/09/2014 21:00	11.9	39	NA	14	11.7
5544	01/09/2014 21:00	11.9	45	9.4	14.1	11.3
5544	02/09/2014 00:00	8.3	6	NA	10.3	7.5
5544	02/09/2014 00:00	8.3	12	3.8	10.9	6.6
5544	02/09/2014 00:00	8.3	18	NA	9.8	7.1
5544	02/09/2014 00:00	8.3	24	3.8	9.7	7
5544	02/09/2014 00:00	8.3	30	NA	10	8.7
5544	02/09/2014 00:00	8.3	36	4.5	12.8	9.1
5544	02/09/2014 00:00	8.3	42	NA	13.8	10.3
5544	02/09/2014 00:00	8.3	48	7.9	14.6	11.4
5544	02/09/2014 03:00	11.2	3	8.2	13	10.4
5544	02/09/2014 03:00	11.2	9	NA	12.9	10
5544	02/09/2014 03:00	11.2	15	5.4	11	10.1
5544	02/09/2014 03:00	11.2	21	NA	11.7	10.3
5544	02/09/2014 03:00	11.2	27	4.4	11.6	10.3
5544	02/09/2014 03:00	11.2	33	NA	11.9	10.2
5544	02/09/2014 03:00	11.2	39	4.2	9.4	10.9
5544	02/09/2014 03:00	11.2	45	NA	12.9	8.9
5544	02/09/2014 06:00	5.9	6	7.7	12	10.2
5544	02/09/2014 06:00	5.9	12	NA	11.8	9.7
5544	02/09/2014 06:00	5.9	18	7.4	12.6	9.8
5544	02/09/2014 06:00	5.9	24	NA	13.2	9.8
5544	02/09/2014 06:00	5.9	30	6.5	13	10.7
5544	02/09/2014 06:00	5.9	36	NA	12.5	10.6
5544	02/09/2014 06:00	5.9	42	7	14.3	10.9
5544	02/09/2014 06:00	5.9	48	NA	11.7	9.4
5544	02/09/2014 09:00	6.1	3	NA	12.6	8.3
5544	02/09/2014 09:00	6.1	9	6.6	10.8	7.7
5544	02/09/2014 09:00	6.1	15	NA	11.5	7.5
5544	02/09/2014 09:00	6.1	21	6.6	11.5	7.9
5544	02/09/2014 09:00	6.1	27	NA	11.4	8.3
5544	02/09/2014 09:00	6.1	33	6.2	10.9	8.1
5544	02/09/2014 09:00	6.1	39	NA	12.4	7.9
5544	02/09/2014 09:00	6.1	45	6.2	11.7	9.1
5544	02/09/2014 12:00	7.1	6	NA	9.1	6.7
5544	02/09/2014 12:00	7.1	12	6.3	10.6	5.8
5544	02/09/2014 12:00	7.1	18	NA	10.4	6.5
5544	02/09/2014 12:00	7.1	24	5.8	10.7	5.9
5544	02/09/2014 12:00	7.1	30	NA	9.6	6.3
5544	02/09/2014 12:00	7.1	36	4.5	9.2	6.6
5544	02/09/2014 12:00	7.1	42	NA	9.2	8
5544	02/09/2014 12:00	7.1	48	5.5	11.7	8.6
5544	02/09/2014 15:00	7.8	3	5.2	8	7.1
5544	02/09/2014 15:00	7.8	9	NA	7.8	5.9
5544	02/09/2014 15:00	7.8	15	5.2	7.8	6.8
5544	02/09/2014 15:00	7.8	21	NA	8.2	7.8
5544	02/09/2014 15:00	7.8	27	6	8.3	7.3
5544	02/09/2014 15:00	7.8	33	NA	10	7.6
5544	02/09/2014 15:00	7.8	39	4.9	9.2	7.8
5544	02/09/2014 15:00	7.8	45	NA	10.1	7.3
5544	02/09/2014 18:00	4.4	6	6.1	7.9	6.3
5544	02/09/2014 18:00	4.4	12	NA	6.2	5.8
5544	02/09/2014 18:00	4.4	18	4.2	6.1	5
5544	02/09/2014 18:00	4.4	24	NA	4.7	4.9
5544	02/09/2014 18:00	4.4	30	4.3	6.4	5.1
5544	02/09/2014 18:00	4.4	36	NA	7.5	5.6
5544	02/09/2014 18:00	4.4	42	5	8.1	5
5544	02/09/2014 18:00	4.4	48	NA	6.8	4.4
5544	02/09/2014 21:00	0.4	3	NA	1.5	1.6
5544	02/09/2014 21:00	0.4	9	2.1	1	1
5544	02/09/2014 21:00	0.4	15	NA	1.4	0.8
5544	02/09/2014 21:00	0.4	21	1.1	3	1.2
5544	02/09/2014 21:00	0.4	27	NA	2.2	0.7
5544	02/09/2014 21:00	0.4	33	1.7	2.7	0.6
5544	02/09/2014 21:00	0.4	39	NA	0.9	1.1
5544	02/09/2014 21:00	0.4	45	1	1.7	1.6
5544	03/09/2014 00:00	3.4	6	NA	0.1	0.9
5544	03/09/2014 00:00	3.4	12	3.3	1.6	8.1
5544	03/09/2014 00:00	3.4	18	NA	2.1	0.5
5544	03/09/2014 00:00	3.4	24	2.1	2.8	1.2
5544	03/09/2014 00:00	3.4	30	NA	2	5.1
5544	03/09/2014 00:00	3.4	36	1.1	10.9	7.5
5544	03/09/2014 00:00	3.4	42	NA	7.6	10.1
5544	03/09/2014 00:00	3.4	48	1.2	8	8.2
5544	03/09/2014 03:00	3.7	3	2	4.4	2.5
5544	03/09/2014 03:00	3.7	9	NA	0.9	2.7
5544	03/09/2014 03:00	3.7	15	0.9	5.8	1.8
5544	03/09/2014 03:00	3.7	21	NA	2.3	3
5544	03/09/2014 03:00	3.7	27	1.4	5	1.9
5544	03/09/2014 03:00	3.7	33	NA	9.9	11.7
5544	03/09/2014 03:00	3.7	39	6.2	10.7	7
5544	03/09/2014 03:00	3.7	45	NA	10.5	9.2
5544	03/09/2014 06:00	2	6	3.8	1.2	2.9
5544	03/09/2014 06:00	2	12	NA	2.8	3.1
5544	03/09/2014 06:00	2	18	3.4	4.6	2.5
5544	03/09/2014 06:00	2	24	NA	2.3	1.6
5544	03/09/2014 06:00	2	30	3.8	3.4	2.4
5544	03/09/2014 06:00	2	36	NA	11.1	9.8
5544	03/09/2014 06:00	2	42	6.2	12.1	10
5544	03/09/2014 06:00	2	48	NA	11.7	11
5544	03/09/2014 09:00	0.7	3	NA	3.8	3.1
5544	03/09/2014 09:00	0.7	9	2.8	3.6	2.8
5544	03/09/2014 09:00	0.7	15	NA	5.3	6.1
5544	03/09/2014 09:00	0.7	21	3.4	2.9	6.4
5544	03/09/2014 09:00	0.7	27	NA	3.6	3.2
5544	03/09/2014 09:00	0.7	33	1.7	2.2	1.2
5544	03/09/2014 09:00	0.7	39	NA	6.5	6.3
5544	03/09/2014 09:00	0.7	45	5.3	13.3	9.3
5544	03/09/2014 12:00	7.3	6	NA	9	8
5544	03/09/2014 12:00	7.3	12	5.3	10.6	8
5544	03/09/2014 12:00	7.3	18	NA	10.7	7.4
5544	03/09/2014 12:00	7.3	24	5.5	11.3	7.8
5544	03/09/2014 12:00	7.3	30	NA	10.1	8
5544	03/09/2014 12:00	7.3	36	5.6	7.9	7.3
5544	03/09/2014 12:00	7.3	42	NA	11	8.7
5544	03/09/2014 12:00	7.3	48	5.6	11.4	7.8
5544	03/09/2014 15:00	5.3	3	6.1	9.1	8.2
5544	03/09/2014 15:00	5.3	9	NA	10.1	7.8
5544	03/09/2014 15:00	5.3	15	6.5	8.9	5.6
5544	03/09/2014 15:00	5.3	21	NA	8.1	6.1
5544	03/09/2014 15:00	5.3	27	5.9	10.1	5.9
5544	03/09/2014 15:00	5.3	33	NA	10.5	6
5544	03/09/2014 15:00	5.3	39	6.2	10.7	5.9
5544	03/09/2014 15:00	5.3	45	NA	10.1	6.9
5544	03/09/2014 18:00	5.3	6	4.1	6.2	5.9
5544	03/09/2014 18:00	5.3	12	NA	6	5.2
5544	03/09/2014 18:00	5.3	18	4.6	4.6	4.2
5544	03/09/2014 18:00	5.3	24	NA	5.8	4
5544	03/09/2014 18:00	5.3	30	4.5	5.9	4.4
5544	03/09/2014 18:00	5.3	36	NA	6.4	4.5
5544	03/09/2014 18:00	5.3	42	5.2	4.9	4.1
5544	03/09/2014 18:00	5.3	48	NA	5.6	4.2
5544	03/09/2014 21:00	0.8	3	NA	3.7	3
5544	03/09/2014 21:00	0.8	9	1.8	5.1	2.6
5544	03/09/2014 21:00	0.8	15	NA	5.3	2.4
5544	03/09/2014 21:00	0.8	21	2.1	2.3	1.7
5544	03/09/2014 21:00	0.8	27	NA	4.2	2.7
5544	03/09/2014 21:00	0.8	33	2.3	4.1	3.8
5544	03/09/2014 21:00	0.8	39	NA	3	2.7
5544	03/09/2014 21:00	0.8	45	2.4	5.3	3
5544	04/09/2014 00:00	1	6	NA	1.5	0.8
5544	04/09/2014 00:00	1	12	0.7	1.8	0.9
5544	04/09/2014 00:00	1	18	NA	1.1	0.4
5544	04/09/2014 00:00	1	24	0.9	1.5	0.6
5544	04/09/2014 00:00	1	30	NA	0.7	0.5
5544	04/09/2014 00:00	1	36	0.6	0.6	1.4
5544	04/09/2014 00:00	1	42	NA	1.6	0.7
5544	04/09/2014 00:00	1	48	0.6	0.2	2.5
5544	04/09/2014 03:00	2	3	0.9	1.5	1.7
5544	04/09/2014 03:00	2	9	NA	0.8	0.4
5544	04/09/2014 03:00	2	15	1	0.4	0.7
5544	04/09/2014 03:00	2	21	NA	1.4	1
5544	04/09/2014 03:00	2	27	0.9	1.4	1.7
5544	04/09/2014 03:00	2	33	NA	1	1.8
5544	04/09/2014 03:00	2	39	0.8	2	0.2
5544	04/09/2014 03:00	2	45	NA	1.6	1
5544	04/09/2014 06:00	1	6	2.2	3.4	2.8
5544	04/09/2014 06:00	1	12	NA	3.1	2.4
5544	04/09/2014 06:00	1	18	2.2	2.5	1.7
5544	04/09/2014 06:00	1	24	NA	1.6	2.5
5544	04/09/2014 06:00	1	30	2.8	2	4.1
5544	04/09/2014 06:00	1	36	NA	1.8	3
5544	04/09/2014 06:00	1	42	2.7	1.2	3.1
5544	04/09/2014 06:00	1	48	NA	1.4	1.5
5544	04/09/2014 09:00	2	3	NA	6.4	4.7
5544	04/09/2014 09:00	2	9	3.5	6.3	4.5
5544	04/09/2014 09:00	2	15	NA	5.9	3.8
5544	04/09/2014 09:00	2	21	3.5	1.4	3.9
5544	04/09/2014 09:00	2	27	NA	3.5	4.7
5544	04/09/2014 09:00	2	33	3.9	7.3	5.9
5544	04/09/2014 09:00	2	39	NA	4.6	5.5
5544	04/09/2014 09:00	2	45	3.7	1.3	4.8
